2022-05-12 08:04:23.219782 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'v:\\projects\\dev\\provfinder/providerFiles/*.pdf'.
2022-05-12 08:11:14.996270 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'v:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 08:16:38.727804 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'v:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 08:16:53.461816 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'v:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 08:22:36.822669 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'v:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:10:21.519317 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:11:51.778956 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:11:51.778956 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:11:51.778956 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:11:51.778956 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:17:36.183774 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:17:36.183774 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:33:57.126828 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:33:57.126828 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:33:57.126828 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:33:57.126828 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:37:01.497066 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:37:01.497066 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-12 09:38:37.250547 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-13 07:25:39.497077 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-13 07:25:39.497077 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-13 07:25:39.497077 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-13 07:41:49.613161 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
2022-05-13 07:53:39.914764 - Line: None, Message: [WinError 123] The filename, directory name, or volume label syntax is incorrect: 'V:\\projects\\dev\\provfinder\\providerFiles\\*.pdf'.
